mol_name,smiles,bond_idx,elem1,elem2,bond_order,hybridization_1,hybridization_2,is_in_ring,ring_size,mmff_length,dft_length
hexane,CCCCCC,6,C,H,1.0,SP3,OTHER,0,0,1.094533998933336,1.0974704167625657
hexane,CCCCCC,7,C,H,1.0,SP3,OTHER,0,0,1.0948206600873038,1.0961136761244248
hexane,CCCCCC,8,C,H,1.0,SP3,OTHER,0,0,1.0961928363540787,1.099633018781266
hexane,CCCCCC,9,C,H,1.0,SP3,OTHER,0,0,1.0966640069009286,1.098486721917475
hexane,CCCCCC,10,C,H,1.0,SP3,OTHER,0,0,1.0966893235305977,1.1008797887458015
hexane,CCCCCC,11,C,H,1.0,SP3,OTHER,0,0,1.0957994646658666,1.0979008118163498
hexane,CCCCCC,12,C,H,1.0,SP3,OTHER,0,0,1.0957991188867604,1.0979004456639045
hexane,CCCCCC,13,C,H,1.0,SP3,OTHER,0,0,1.0966893914545721,1.1008797887458015
hexane,CCCCCC,14,C,H,1.0,SP3,OTHER,0,0,1.096664051863195,1.0984875309865834
hexane,CCCCCC,15,C,H,1.0,SP3,OTHER,0,0,1.096194124897593,1.0996321647228222
hexane,CCCCCC,16,C,H,1.0,SP3,OTHER,0,0,1.0945344303465288,1.0974704167625657
hexane,CCCCCC,17,C,H,1.0,SP3,OTHER,0,0,1.0948212007017402,1.0961136761244248
hexane,CCCCCC,18,C,H,1.0,SP3,OTHER,0,0,1.0937340389057113,1.0957374051304445
neopentane,CC(C)(C)C,0,C,C,1.0,SP3,SP3,0,0,1.5353373686392187,1.5402171428006508
neopentane,CC(C)(C)C,1,C,C,1.0,SP3,SP3,0,0,1.5353370434126183,1.5401893357418757
neopentane,CC(C)(C)C,2,C,C,1.0,SP3,SP3,0,0,1.535336531156606,1.5402680527275114
neopentane,CC(C)(C)C,3,C,C,1.0,SP3,SP3,0,0,1.5353376020735634,1.5402887903471219
neopentane,CC(C)(C)C,4,C,H,1.0,SP3,OTHER,0,0,1.0958099052851273,1.0971462956825766
neopentane,CC(C)(C)C,5,C,H,1.0,SP3,OTHER,0,0,1.0958106584688798,1.0971673648978992
neopentane,CC(C)(C)C,6,C,H,1.0,SP3,OTHER,0,0,1.0958101632897006,1.0971621781418643
neopentane,CC(C)(C)C,7,C,H,1.0,SP3,OTHER,0,0,1.0958094984996252,1.0971065875447108
neopentane,CC(C)(C)C,8,C,H,1.0,SP3,OTHER,0,0,1.0958107427881878,1.097133765577835
neopentane,CC(C)(C)C,9,C,H,1.0,SP3,OTHER,0,0,1.0958097106231537,1.0971597972091396
neopentane,CC(C)(C)C,10,C,H,1.0,SP3,OTHER,0,0,1.0958101869525578,1.0971514705030476
neopentane,CC(C)(C)C,11,C,H,1.0,SP3,OTHER,0,0,1.0958108423651411,1.0971249146810949
neopentane,CC(C)(C)C,12,C,H,1.0,SP3,OTHER,0,0,1.0958095564768542,1.0971662865281633
neopentane,CC(C)(C)C,13,C,H,1.0,SP3,OTHER,0,0,1.095809267357235,1.0971496903458526
neopentane,CC(C)(C)C,14,C,H,1.0,SP3,OTHER,0,0,1.0958094089489285,1.0971415739652746
neopentane,CC(C)(C)C,15,C,H,1.0,SP3,OTHER,0,0,1.095810079178413,1.0971245129706109
cyclohexane,C1CCCCC1,0,C,C,1.0,SP3,SP3,1,6,1.5263366654447503,1.5370034151377152
cyclohexane,C1CCCCC1,1,C,C,1.0,SP3,SP3,1,6,1.526336939113052,1.5372431654650476
cyclohexane,C1CCCCC1,2,C,C,1.0,SP3,SP3,1,6,1.5263364957511825,1.5371074494627888
cyclohexane,C1CCCCC1,3,C,C,1.0,SP3,SP3,1,6,1.5263366654447503,1.5370034151377152
cyclohexane,C1CCCCC1,4,C,C,1.0,SP3,SP3,1,6,1.5263374499546292,1.5372431654650476
cyclohexane,C1CCCCC1,5,C,C,1.0,SP3,SP3,1,6,1.5263366865338066,1.5371074494627888
cyclohexane,C1CCCCC1,6,C,H,1.0,SP3,OTHER,0,0,1.0969979719826286,1.1004051070242267
cyclohexane,C1CCCCC1,7,C,H,1.0,SP3,OTHER,0,0,1.0957991733515773,1.0977463937599614
cyclohexane,C1CCCCC1,8,C,H,1.0,SP3,OTHER,0,0,1.0969978370429907,1.100444078658248
cyclohexane,C1CCCCC1,9,C,H,1.0,SP3,OTHER,0,0,1.0957992620138053,1.0977256654620042
cyclohexane,C1CCCCC1,10,C,H,1.0,SP3,OTHER,0,0,1.0969986417863058,1.1004068184330738
cyclohexane,C1CCCCC1,11,C,H,1.0,SP3,OTHER,0,0,1.0957995652540657,1.097754409575293
cyclohexane,C1CCCCC1,12,C,H,1.0,SP3,OTHER,0,0,1.096997945459334,1.1004051070242267
cyclohexane,C1CCCCC1,13,C,H,1.0,SP3,OTHER,0,0,1.0957986009449912,1.0977463937599614
cyclohexane,C1CCCCC1,14,C,H,1.0,SP3,OTHER,0,0,1.0957982129247157,1.0977256654620042
cyclohexane,C1CCCCC1,15,C,H,1.0,SP3,OTHER,0,0,1.096999124227089,1.100444034575589
cyclohexane,C1CCCCC1,16,C,H,1.0,SP3,OTHER,0,0,1.095799017540169,1.097754409575293
cyclohexane,C1CCCCC1,17,C,H,1.0,SP3,OTHER,0,0,1.0969978047553242,1.1004067590673003
ethylene,C=C,0,C,C,2.0,SP2,SP2,0,0,1.3357879509577857,1.330966
ethylene,C=C,1,C,H,1.0,SP2,OTHER,0,0,1.085491590350197,1.0874719855242247
ethylene,C=C,2,C,H,1.0,SP2,OTHER,0,0,1.0854919517463038,1.0874719855242247
ethylene,C=C,3,C,H,1.0,SP2,OTHER,0,0,1.085491590350197,1.0874719855242247
ethylene,C=C,4,C,H,1.0,SP2,OTHER,0,0,1.0854919517463038,1.0874719855242247
propylene,CC=C,0,C,C,1.0,SP3,SP2,0,0,1.4934366964652366,1.5020066390282703
propylene,CC=C,1,C,C,2.0,SP2,SP2,0,0,1.3385792730585664,1.333342667687868
propylene,CC=C,2,C,H,1.0,SP3,OTHER,0,0,1.0942472256277371,1.0984584026862374
propylene,CC=C,3,C,H,1.0,SP3,OTHER,0,0,1.094246074496957,1.0984589918062486
propylene,CC=C,4,C,H,1.0,SP3,OTHER,0,0,1.0946067388633236,1.0952211144362585
propylene,CC=C,5,C,H,1.0,SP2,OTHER,0,0,1.0877871026561219,1.0911948199455492
